ID,fieldName,dataType,isStandard,isRequired,isCustom
a0000000-0000-0000-0000-000000000001,Lockbox,Text,true,false,false
a0000000-0000-0000-0000-000000000002,Company Code,Text,true,false,false
a0000000-0000-0000-0000-000000000003,Batch Destination,Text,true,false,false
a0000000-0000-0000-0000-000000000004,Batch Origin,Text,true,false,false
a0000000-0000-0000-0000-000000000005,Deposit Date and Time,Date,true,true,false
a0000000-0000-0000-0000-000000000006,Incoming Payment File,Text,true,false,false
a0000000-0000-0000-0000-000000000007,Number Of Items,Number,true,false,false
a0000000-0000-0000-0000-000000000008,Currency,Text,true,false,false
a0000000-0000-0000-0000-000000000009,Number Of Incomplete Cheques,Number,true,false,false
a0000000-0000-0000-0000-000000000010,Value Date,Date,true,false,false
a0000000-0000-0000-0000-000000000011,Amount,Decimal,true,true,false
a0000000-0000-0000-0000-000000000012,Check Number,Text,true,true,false
a0000000-0000-0000-0000-000000000013,Partner Bank Country,Text,true,false,false
a0000000-0000-0000-0000-000000000014,Partner Bank,Text,true,false,false
a0000000-0000-0000-0000-000000000015,Partner Bank Account,Text,true,false,false
a0000000-0000-0000-0000-000000000016,Bank Ledger Document,Text,true,false,false
a0000000-0000-0000-0000-000000000017,Customer,Text,true,false,false
a0000000-0000-0000-0000-000000000018,Memo Line 1,Text,true,false,false
a0000000-0000-0000-0000-000000000019,Memo Line,Text,true,false,false
a0000000-0000-0000-0000-000000000020,Payment Advice,Text,true,false,false
a0000000-0000-0000-0000-000000000021,Assignment Reference,Text,true,false,false
a0000000-0000-0000-0000-000000000022,Document Item Text,Text,true,false,false
a0000000-0000-0000-0000-000000000023,Document Reference ID,Text,true,false,false
a0000000-0000-0000-0000-000000000024,Payment Manual Transaction Type,Text,true,false,false
a0000000-0000-0000-0000-000000000025,Fiscal Year,Text,true,false,false
a0000000-0000-0000-0000-000000000026,Payment Advice Item,Text,true,false,false
a0000000-0000-0000-0000-000000000027,Payment Advice Account,Text,true,false,false
a0000000-0000-0000-0000-000000000028,Payment Advice Account Type,Text,true,false,false
a0000000-0000-0000-0000-000000000029,Payment Reference,Text,true,false,false
a0000000-0000-0000-0000-000000000030,Net Payment Amount,Decimal,true,false,false
a0000000-0000-0000-0000-000000000031,Deduction Amount,Decimal,true,false,false
a0000000-0000-0000-0000-000000000032,Payment Difference Reason,Text,true,false,false
a0000000-0000-0000-0000-000000000033,Sales Order,Text,true,false,false
